scan,zone,max_deviation_mm,tolerance_mm,status
scan_000,OOO,1.866,0.0,NOK
scan_000,ANGUSS_A,0.000,1.4,OK
scan_000,ANGUSS_B,0.000,1.0,OK
scan_000,GRAT_XXX,3.586,1.2,NOK
scan_000,SCHLITZ_E,12.900,12.4–13.0,OK
scan_020,OOO,2.296,0.0,NOK
scan_020,ANGUSS_A,2.377,1.4,NOK
scan_020,ANGUSS_B,0.000,1.0,OK
scan_020,GRAT_XXX,4.643,1.2,NOK
scan_020,SCHLITZ_E,12.900,12.4–13.0,OK
scan_040,OOO,1.658,0.0,NOK
scan_040,ANGUSS_A,2.529,1.4,NOK
scan_040,ANGUSS_B,0.000,1.0,OK
scan_040,GRAT_XXX,4.081,1.2,NOK
scan_040,SCHLITZ_E,12.900,12.4–13.0,OK
scan_080,OOO,1.501,0.0,NOK
scan_080,ANGUSS_A,2.966,1.4,NOK
scan_080,ANGUSS_B,0.000,1.0,OK
scan_080,GRAT_XXX,3.200,1.2,NOK
scan_080,SCHLITZ_E,12.900,12.4–13.0,OK
scan_100,OOO,1.893,0.0,NOK
scan_100,ANGUSS_A,2.329,1.4,NOK
scan_100,ANGUSS_B,0.000,1.0,OK
scan_100,GRAT_XXX,4.043,1.2,NOK
scan_100,SCHLITZ_E,12.900,12.4–13.0,OK
scan_120,OOO,1.626,0.0,NOK
scan_120,ANGUSS_A,1.890,1.4,NOK
scan_120,ANGUSS_B,0.000,1.0,OK
scan_120,GRAT_XXX,6.120,1.2,NOK
scan_120,SCHLITZ_E,12.900,12.4–13.0,OK
scan_140,OOO,1.866,0.0,NOK
scan_140,ANGUSS_A,2.671,1.4,NOK
scan_140,ANGUSS_B,0.000,1.0,OK
scan_140,GRAT_XXX,4.954,1.2,NOK
scan_140,SCHLITZ_E,12.900,12.4–13.0,OK
scan_160,OOO,1.527,0.0,NOK
scan_160,ANGUSS_A,1.231,1.4,OK
scan_160,ANGUSS_B,0.000,1.0,OK
scan_160,GRAT_XXX,9.308,1.2,NOK
scan_160,SCHLITZ_E,12.900,12.4–13.0,OK
scan_180,OOO,1.148,0.0,NOK
scan_180,ANGUSS_A,0.000,1.4,OK
scan_180,ANGUSS_B,0.000,1.0,OK
scan_180,GRAT_XXX,7.579,1.2,NOK
scan_180,SCHLITZ_E,12.900,12.4–13.0,OK
scan_200,OOO,1.223,0.0,NOK
scan_200,ANGUSS_A,0.000,1.4,OK
scan_200,ANGUSS_B,1.768,1.0,NOK
scan_200,GRAT_XXX,6.906,1.2,NOK
scan_200,SCHLITZ_E,12.900,12.4–13.0,OK
scan_220,OOO,1.533,0.0,NOK
scan_220,ANGUSS_A,0.000,1.4,OK
scan_220,ANGUSS_B,3.076,1.0,NOK
scan_220,GRAT_XXX,3.983,1.2,NOK
scan_220,SCHLITZ_E,12.900,12.4–13.0,OK
scan_240,OOO,2.473,0.0,NOK
scan_240,ANGUSS_A,1.197,1.4,OK
scan_240,ANGUSS_B,0.000,1.0,OK
scan_240,GRAT_XXX,8.391,1.2,NOK
scan_240,SCHLITZ_E,12.900,12.4–13.0,OK
scan_260,OOO,1.376,0.0,NOK
scan_260,ANGUSS_A,0.000,1.4,OK
scan_260,ANGUSS_B,2.713,1.0,NOK
scan_260,GRAT_XXX,4.304,1.2,NOK
scan_260,SCHLITZ_E,12.900,12.4–13.0,OK
scan_280,OOO,1.437,0.0,NOK
scan_280,ANGUSS_A,0.000,1.4,OK
scan_280,ANGUSS_B,2.426,1.0,NOK
scan_280,GRAT_XXX,5.376,1.2,NOK
scan_280,SCHLITZ_E,12.900,12.4–13.0,OK
scan_300,OOO,1.362,0.0,NOK
scan_300,ANGUSS_A,0.000,1.4,OK
scan_300,ANGUSS_B,2.056,1.0,NOK
scan_300,GRAT_XXX,6.281,1.2,NOK
scan_300,SCHLITZ_E,12.900,12.4–13.0,OK
scan_320,OOO,1.526,0.0,NOK
scan_320,ANGUSS_A,0.000,1.4,OK
scan_320,ANGUSS_B,1.398,1.0,NOK
scan_320,GRAT_XXX,5.947,1.2,NOK
scan_320,SCHLITZ_E,12.900,12.4–13.0,OK
scan_340,OOO,1.318,0.0,NOK
scan_340,ANGUSS_A,0.000,1.4,OK
scan_340,ANGUSS_B,0.000,1.0,OK
scan_340,GRAT_XXX,5.144,1.2,NOK
scan_340,SCHLITZ_E,12.900,12.4–13.0,OK
